Observations,Score,Comments
,,
Software Working through Doc,,
"Does the website and documentation provide a clear, high-level overview of your software?",Y,Here is the documentation. https://github.com/drs1951/CSC510_Group31#86-no-more-a-kitchen-intelligence-solution
Does the website and documentation clearly describe the type of user who should use your software?,Y,
Do this project publish case studies to show how your software has been used by yourself and others?,Y,
,,
Project and Software's Uniquness,,
Is the name of the project/software unique?,Y,86 No more is unique. No software by this name is available online 
Is the project/software name free from trademark violations?,Y,
,,
Avaibility of Software,,
Is this software available as a package that can be deployed without building it?,N,We need to build the project before running it as it is not hosted on any cloud platform.
Is your software available for free?,Y,It is open source with MIT Licence
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,Hosted on github.com
,,
Software's documentation,,
Is the documentation clearly available on your website or within your software?,Y,Here is the documentation. https://github.com/drs1951/CSC510_Group31#86-no-more-a-kitchen-intelligence-solution
"Does the documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,Here is the link to the Demo. https://github.com/drs1951/CSC510_Group31#-demo
"If the documentation is extensive, does this provide clear, step-by-step instructions on how to deploy and use the software?",Y,Installation guide is provided. https://github.com/drs1951/CSC510_Group31#installation-guide
"Does it provide a comprehensive guide to all the software’s commands, functions and options?",Y,"Home page of the repository covers all the functions. Also, appropriate documentation is provided with corresponding files."
Does it provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Y,All commands are keeping in mind the potential errors. e.g. https://github.com/drs1951/CSC510_Group31#step-3-handle-potential-errors
"If the software can be used as a library, package or service by other software, do it provide comprehensive API documentation?",N/A,
Is documentation stored under revision control with the source code?,Y,Github is used.
"Does the software publish release history e.g. release data, version numbers, key features of each release etc. on their web site or in your documentation?",Y,"It does not provide it but is small project, so we think, it does not make much impact for such smaller project"
,,
Software User Support,,
Does this software describe how a user can get help with using your software?,Y,"Comprehensive documentation has been provided. Still if a user has any difficulty, he/she can reach out to us using our email address"
"Does the website and documentation describe what support, if any, you provide to users and developers?",Y,"Yes, we provide troubleshooting support. https://github.com/drs1951/CSC510_Group31#troubleshooting"
Does the project have an e-mail address or forum that is solely for supporting users?,Y,86.no.more.help@gmail.com
Are e-mails to it's support e-mail address received by more than one person?,Y,
Does this project have a ticketing system to manage bug reports and feature requests?,Y,It uses github Issue and Pull Requests
"Is the project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,
,,
Software's Maintance,,
Is the software’s architecture and design modular?,Y,
Does the software use an accepted coding standard or convention?,Y,MVC architecture is used
,,
Open standards in software,,
"Does your software allow data to be imported and exported using open data formats?* e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Y,
"Does your software allow communications using open communications protocols?*e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",Y,HTTP is used.
,,
Software's Cross-Compability,,
